x1,x2
-87.39,30.47
-87.961,30.675
-87.917,30.604
-87.911,30.562
-87.923,30.521
-87.944,30.227
-88.156,30.324
-88.063,30.615
-88.031,30.679
-88.443,30.329
-89.418,30.212
-89.26,30.319
-89.173,30.335
-89.061,30.366
-88.97,30.418
-88.946,30.417
-88.884,30.415
-88.809,30.394
-88.728,30.348
-88.625,30.361
-88.562,30.349
-88.528,30.338
-89.645,30.169
-90.124,30.023
-90.372,30.245
-90.082,30.364
-89.958,30.26
-89.648,29.271
-89.938,30.064
-89.803,30.218
-92.941,29.706
-93.846,29.986
-91.914,29.645
-85.88,30.221
-85.725,30.133
-85.834,30.288
-85.681,30.207
-85.649,30.147
-85.613,30.13
-85.592,30.121
-85.563,30.108
-85.409,30.034
-85.574,30.088
-85.097,29.715
-87.348,30.426
-87.492,30.284
-87.24,30.375
-87.179,30.434
-87.155,30.503
-86.941,30.456
-87.159,30.368
-86.962,30.395
-86.807,30.413
-86.723,30.419
-86.66,30.417
-86.624,30.415
-86.589,30.42
-86.549,30.441
-86.508,30.462
-86.459,30.486
-86.229,30.388
-87.272,30.321
-87.187,30.343
-86.959,30.379
-86.771,30.404
-86.688,30.409
-86.625,30.411
-86.528,30.397
-86.625,30.4
-86.688,30.399
-86.771,30.395
-86.959,30.364
-87.109,30.337
-87.193,30.325
-83.203,29.399
-81.789,26.703
-81.813,26.673
-81.842,26.636
-81.863,26.61
-81.896,26.568
-81.922,26.511
-81.957,26.498
-81.967,26.485
-81.935,26.468
-81.889,26.449
-81.855,26.382
-81.831,26.271
-81.82,26.188
-81.806,26.12
-81.758,26.02
-81.722,25.949
-81.151,25.422
-82.584,27.546
-82.588,27.521
-82.624,27.478
-82.603,27.421
-82.558,27.354
-82.545,27.319
-82.533,27.277
-82.514,27.229
-82.496,27.188
-82.421,27.015
-82.166,26.785
-82.067,26.957
-82.036,26.896
-82.042,26.875
-82.08,26.702
-81.996,26.533
-81.938,26.563
-81.92,26.602
-81.916,26.623
-81.861,26.673
-81.789,26.706
-82.768,28.11
-82.845,27.909
-82.72,27.66
-82.621,27.728
-82.634,27.883
-82.702,27.981
-82.625,28.003
-82.563,27.978
-82.527,27.964
-82.485,27.948
-82.433,27.924
-82.397,27.847
-82.417,27.769
-82.543,27.646
-82.697,28.354
-82.707,28.329
-82.724,28.287
-82.746,28.239
-82.757,28.183
-97.295,26.097
-95.134,29.083
-94.998,29.544
-95.014,29.563
-95.027,29.604
-95.046,29.667
-95.054,29.715
-95.013,29.716
-95.895,28.641
-97.085,27.955
-97.032,28.02
-96.783,28.333
-96.609,28.611
-96.255,28.687
-97.123,27.909
-97.138,27.891
-97.21,27.821
-97.313,27.844
-97.466,27.873
-97.435,27.803
-97.358,27.753
-97.287,27.668
-97.553,27.239
-96.859,28.128
-96.415,28.393
-97.051,27.841
-97.385,27.197
-94.978,29.221
-94.988,29.175
-94.891,29.396
-94.906,29.431
-94.938,29.469
-94.977,29.518
-94.957,29.697
-94.923,29.711
-94.744,29.374
-93.935,29.854
-93.908,29.896
-93.885,29.933
-94.831,29.332
-94.82,29.338
-94.801,29.328
-94.783,29.315
-94.8,29.298
-94.821,29.283
-94.848,29.263
